Title:Tortoise,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Wolf,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Gila Monster,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Lion,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Tiger,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Hummingbird,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Bat,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Beaver,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Turtle,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Cardinal,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Monkey,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Ape,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Chimpanzee,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Lemur,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Opossum,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Skunk,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Rat,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Viper,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Firefly,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Hornet,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Wasp,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Eagle,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Hawk,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Owl,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Badger,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Black Bear,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Brown Bear,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Camel,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Grizzly Bear,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Boar,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Elephant,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Mammoth,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Hyena,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Griffon,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Hippogriff,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Cat,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Baboon,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Fox,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Rabbit,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Hare,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Constrictor,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Cow,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Crab,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Crocodile,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Alligator,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Deer,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Dolphin,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Elk,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Moose,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Fog,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Toad,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Centipede,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Dragonfly,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Fly,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Beetle,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Goat,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Sheep,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Lizard,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Octopus,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Scorpion,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Eel,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Sea Horse,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Shark,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Snail,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Spider,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Swan,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Vulture,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Walrus,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Weasel,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Jackal,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Whale,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Trout,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Mastiff,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Lynx,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Panther,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Ox,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Pig,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Polar Bear,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Raven,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Rhinoceros,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Seal,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
Title:Bee,Class:Beast,ArmorClass:18,HPMax:8,HPCurrent:8
