Title:Adhere,Notes:Object is covered in extremely sticky slime.,,,
Title:Animate Object,Notes:Object obeys your commands as best it can. It can walk 15ft per round.,,,
Title:Anthropomorphize,Notes:A touched animal either gains human intelligence or human appearance for L days.,,,
Title:Arcane Eye,Notes:You can see through a magical floating eyeball that flies around at your command.,,,
Title:Astral Prison,Notes:An object is frozen in time and space within an invulnerable crystal shell.,,,
Title:Attract,Notes:L+1 objects are strongly magnetically attracted to each other if they come within 10 feet.,,,
Title:Auditory Illusion,Notes:You create illusory sounds that seem to come from a direction of your choice.,,,
Title:Babble,Notes:A creature must loudly and clearly repeat everything you think. It is otherwise mute.,,,
Title:Beast Form,Notes:You and your possessions transform into a mundane animal.,,,
Title:Befuddle,Notes:L creatures of your choice are unable to form new short-term memories for the duration of the spell.,,,
Title:Bend Fate,"Notes:Roll L+1 d20s. Whenever you must roll a d20 after casting the spell, you must choose and then discard one of the rolled results until they are all gone.",,,
Title:Bird Person,Notes:Your arms turn into huge bird wings.,,,
Title:Body Swap,"Notes:You switch bodies with a creature you touch. If one body dies, the other dies as well.",,,
Title:Catherine,"Notes:A woman wearing a blue dress appears until end of spell. She will obey polite, safe requests.",,,
Title:Charm,Notes:L creatures treat you like a friend.,,,
Title:Command,"Notes:A creature obeys a single, three-word command that does not harm it.",,,
Title:Comprehend,Notes:You become fluent in all languages.,,,
Title:Control Plants,Notes:Nearby plants and trees obey you and gain the ability to move at 5 feet per round.,,,
Title:Control Weather,"Notes:You may alter the type of weather at will, but you do not otherwise control it.",,,
Title:Counterspell,"Notes:Make an opposed Intelligence save against the Intelligence of the caster of a nearby spell. You may do this out of turn as a reaction, or against an ongoing magical effect. On a success, you may cancel the spell.",,,
Title:Deafen,Notes:All nearby creatures are deafened.,,,
Title:Detect Magic,Notes:You hear nearby magical auras singing. Volume and harmony signify the auras power and refinement.,,,
Title:Disassemble,"Notes:Any of your body parts may be detached and reattached at will, without causing pain or damage. You can still control them.",,,
Title:Disguise,Notes:You may alter the appearance of L characters at will as long as they remain humanoid. Attempts to duplicate other characters will seem uncanny.,,,
Title:Displace,Notes:An object appears to be up to L×10ft from its actual position.,,,
Title:Earthquake,Notes:The ground begins shaking violently. Structures may be damaged or collapse.,,,
Title:Elasticity,Notes:Your body can stretch up to L×10ft.,,,
Title:Elemental Wall,Notes:A straight wall of ice or fire L×40ft long and 10ft high rises from the ground.,,,
Title:Filch,Notes:L visible items teleport to your hands.,,,
Title:Fog Cloud,Notes:Dense fog spreads out from you.,,,
Title:Frenzy,Notes:L creatures erupt in a frenzy of violence.,,,
Title:Gate,Notes:A portal to a random plane opens.,,,
Title:Gravity Shift,Notes:You can change the direction of gravity (for yourself only) up to once per round.,,,
Title:Greed,Notes:L creatures develop an overwhelming urge to possess a visible item of your choice.,,,
Title:Haste,Notes:Your movement speed is tripled.,,,
Title:Hatred,Notes:L creatures develop a deep hatred of another creature or group of creatures and wish to destroy it.,,,
Title:Hear Whispers,Notes:You can hear faint sounds clearly.,,,
Title:Hover,"Notes:An object hovers, frictionless, 2ft above the ground. It can hold up to L humanoids.",,,
Title:Hypnotize,Notes:A creature enters a trance and will truthfully answer L yes or no questions you ask it.,,,
Title:Icy Touch,"Notes:A thick ice layer spreads across a touched surface, up to L×10ft in radius.",,,
Title:Illuminate,Notes:A floating light moves as you command.,,,
Title:Increase Gravity,Notes:The gravity in an area triples.,,,
Title:Invisible Tether,Notes:Two objects within 10ft of each other cannot be moved more than 10ft apart.,,,
Title:Knock,Notes:L nearby mundane or magical locks unlock.,,,
Title:Leap,Notes:You can jump up to L×10ft in the air.,,,
Title:Liquid Air,Notes:The air around you becomes swimmable.,,,
Title:Magic Dampener,Notes:All nearby magical effects have their effectiveness halved.,,,
Title:Manse,"Notes:A sturdy, furnished cottage appears for L×12 hours. You can permit and forbid entry to it at will.",,,
Title:Marble Madness,"Notes:Your pockets are full of marbles, and will refill every round.",,,
Title:Masquerade,Notes:L characters appearances and voices become identical to a touched character.,,,
Title:Miniaturize,Notes:You and L other touched creatures are reduced to the size of a mouse.,,,
Title:Mirror Image,Notes:L illusory duplicates of yourself appear under your control.,,,
Title:Mirrorwalk,Notes:A mirror becomes a gateway to another mirror that you looked into today.,,,
Title:Multiarm,Notes:You gain L extra arms.,,,
Title:Night Sphere,Notes:An L×40ft wide sphere of darkness displaying the night sky appears.,,,
Title:Objectify,Notes:You become any inanimate object between the size of a grand piano and an apple.,,,
Title:Ooze Form,Notes:You become a living jelly.,,,
Title:Pacify,L creatures have an aversion to violence.,,,
Title:Phantom Coach,"Notes:A ghostly coach appears until end of spell. It moves unnaturally fast over any terrain, including water.",,,
Title:Phobia,Notes:L creatures become terrified of an object of your choice.,,,
Title:Pit,Notes:A pit 10ft wide and L×5ft deep opens in the ground.,,,
Title:Primeval Surge,"Notes:An object grows to the size of an elephant. If it is an animal, it is enraged.",,,
Title:Psychometry,Notes:The referee answers L yes or no questions about a touched object.,,,
Title:Pull,Notes:An object of any size is pulled directly towards you with the strength of L men for one round.,,,
Title:Push,Notes:An object of any size is pushed directly away from you with the strength of L men for one round.,,,
Title:Raise Dead,Notes:L skeletons rise from the ground to serve you. They are incredibly stupid and can only obey simple orders.,,,
Title:Raise Spirit,Notes:The spirit of a dead body manifests and will answer L questions.,,,
Title:Read Mind,Notes:You can hear the surface thoughts of nearby creatures.,,,
Title:Repel,Notes:L+1 objects are strongly magnetically repelled from each other if they come within 10 feet.,,,
Title:Scry,Notes:You can see through the eyes of a creature you touched earlier today.,,,
Title:Sculpt Elements,Notes:All inanimate material behaves like clay in your hands.,,,
Title:Shroud,Notes:L creatures are invisible until they move.,,,
Title:Shuffle,Notes:L creatures instantly switch places. Determine where they end up randomly.,,,
Title:Sleep,Notes:L creatures fall into a light sleep.,,,
Title:Smoke Form,Notes:Your body becomes living smoke.,,,
Title:Snail Knight,"Notes:10 minutes after casting, a knight sitting astride a giant snail rides into view. He is able to answer most questions related to quests and chivalry, and may aid you if he finds you worthy.",,,
Title:Sniff,Notes:You can smell even the faintest traces of scents.,,,
Title:Sort,Notes:Inanimate items sort themselves according to categories you set. The categories must be visually verifiable.,,,
Title:Spectacle,"Notes:A clearly unreal but impressive illusion of your choice appears, under your control. It may be up to the size of a palace and has full motion and sound.",,,
Title:Spellseize,Notes:Cast this as a reaction to another spell going off to make a temporary copy of it that you can cast at any time before this spell ends.,,,
Title:Spider Climb,Notes:You can climb surfaces like a spider.,,,
Title:Summon Cube,"Notes:Once per second, (6 times per round) you may summon or banish a 3-foot-wide cube of earth. New cubes must be affixed to the earth or to other cubes.",,,
Title:Swarm,"Notes:You become a swarm of crows, rats, or piranhas. You only take damage from area effects.",,,
Title:Telekinesis,Notes:You may mentally move L items.,,,
Title:Telepathy,"Notes:L+1 creatures can hear each others thoughts, no matter how far apart they move.",,,
Title:Teleport,"Notes:An object disappears and reappears on the ground in a visible, clear area up to L×40ft away.",,,
Title:Thaumaturgic Anchor,Notes:Object becomes the target of every spell cast near it.,,,
Title:Thicket,Notes:A thicket of trees and dense brush up to L×40ft wide suddenly sprouts up.,,,
Title:Time Jump,"Notes:An object disappears as it jumps L×10 minutes into the future. When it returns, it appears in the unoccupied area nearest to where it left.",,,
Title:Summon Idol,Notes:A carved stone statue the size of a four poster bed rises from the ground.,,,
Title:Time Rush,Notes:Time in a 40ft bubble starts moving 10 times faster.,,,
Title:Time Slow,Notes:Time in a 40ft bubble slows to 10%.,,,
Title:True Sight,Notes:You see through all nearby illusions.,,,
Title:Upwell,Notes:A spring of seawater appears.,,,
Title:Vision,Notes:You completely control what a creature sees.,,,
Title:Visual Illusion,"Notes:A silent, immobile, illusion of your choice appears, up to the size of a bedroom.",,,
Title:Ward,"Notes:A silver circle 40ft across appears on the ground. Choose one thing that cannot cross it: Living creatures, dead creatures, projectiles or metal.",,,
Title:Web,Notes:Your wrists can shoot thick webbing.,,,
Title:Wizard Mark,"Notes:Your finger can shoot a stream of ulfire-colored paint. This paint is only visible to you, and can be seen at any distance, even through solid objects.",,,
Title:X-Ray Vision,Notes:You gain X-Ray vision.,,,
